acronym,name,major,college,prerequisite_text,enrollment_cnt,A_cnt,A_percentage,cardinality
W&L CS 142,Graphic Novel Workshop,Writing & Literature (Creative Studies) - W&L,creative_studies,Consent of Instructor,34,34,1,142
W&L CS 152CS,Genre Study - Contemporary Screenwriters,Writing & Literature (Creative Studies) - W&L,creative_studies,Consent of Instructor,26,26,1,152
W&L CS 170A,Introduction of Literary Publishing,Writing & Literature (Creative Studies) - W&L,creative_studies,Consent of Instructor,30,30,1,170
ANTH 116A,"Myth, Ritual and Symbol",Anthropology - ANTH,letters_and_science,Anthropology 2.,154,58,0.37662337662337664,116
ANTH 133,Cultural Development in Mesoamerica,Anthropology - ANTH,letters_and_science,"",959,446,0.46506777893639206,133
ANTH 138,Anthropology of Environmental Health,Anthropology - ANTH,letters_and_science,ANTH 2 or equivalent introduction to sociocultural anthropology,88,63,0.7159090909090909,138
ANTH 147,Water and Society,Anthropology - ANTH,letters_and_science,ANTH 2 or Consent of instructor,157,82,0.5222929936305732,147
ANTH 167,People of the Ice Age,Anthropology - ANTH,letters_and_science,Anthropology 3 or 3SS.,359,130,0.362116991643454,167
ANTH 177AB,Human Reproduction Ecology and Endocrinology,Anthropology - ANTH,letters_and_science,Upper-division standing,597,315,0.5276381909547738,177
ANTH 193,After graduation:Preparing for Graduate School and the Job Market,Anthropology - ANTH,letters_and_science,Juniors and Seniors only; limited to Anthropology Majors/Minors,82,77,0.9390243902439024,193
ART CS 102,Themes,Art - ART,creative_studies,Consent of instructor.,204,204,1,102
ART 185XX,Special Topics in Art,Art - ART,letters_and_science,Upper-division standing or instructor approval,35,25,0.7142857142857143,185
ARTHI 6B,Art Survey II:Renaissance-Baroque Art,Art History - ARTHI,letters_and_science,"",5422,2236,0.4123939505717447,6
ARTHI 103G,Ancient Spectacle,Art History - ARTHI,letters_and_science,Upper-division standing.,96,44,0.4583333333333333,103
ARTHI 132J,Modern Art of the Arab World,Art History - ARTHI,letters_and_science,Not open to freshmen.,259,82,0.3166023166023166,132
ARTHI 136W,Introduction to 2D/3D Visualizations in Architecture,Art History - ARTHI,letters_and_science,Upper-division standing; open to majors only.,101,62,0.6138613861386139,136
ARTHI 142A,Architecture and Planning in Seventeenth-Century Europe,Art History - ARTHI,letters_and_science,Not open to freshman.,117,33,0.28205128205128205,142
ARTHI 186B,Seminar in Ancient Greek & Roman Art/Architecture,Art History - ARTHI,letters_and_science,Upper-division standing.,52,29,0.5576923076923077,186
AS AM 125,Asian American Theater,Asian American Studies - AS AM,letters_and_science,Upper-division standing.,257,173,0.6731517509727627,125
BL ST 191A,Special Topics in Black Studies.,Black Studies - BL ST,letters_and_science,Upper-division standing.,,,,191
BL ST 191BB,Special Topics in Black Studies,Black Studies - BL ST,letters_and_science,Upper-division standing.,,,,191
CHIN 185T,History of Modern Chinese Thought,Chinese - CHIN,letters_and_science,HIST 2A-B-C or HIST 80 or HIST/CHIN 184A-B or HIST/CHIN 185A-B or EACS 4A-B,,,,185
EARTH 137,Quantitative Geomorphology,Earth Science - EARTH,letters_and_science,Geography 3B or 4; or Earth 2,,,,137
AS AM 157,Asian Americans and Education,Asian American Studies - AS AM,letters_and_science,Sophomore standing or higher.,183,123,0.6721311475409836,157
AS AM 158,Asian American Aesthetics,Asian American Studies - AS AM,letters_and_science,Sophomore standing or higher.,508,281,0.5531496062992126,158
AS AM 175,Theory and Method in Asian American Studies,Asian American Studies - AS AM,letters_and_science,Upper-division standing. Instructor approval required.,64,52,0.8125,175
BL ST 4,Critical Introduction to Race and Racism,Black Studies - BL ST,letters_and_science,"",1572,853,0.5426208651399491,4
BL ST 118,Comparative Rebellion,Black Studies - BL ST,letters_and_science,"",434,221,0.5092165898617511,118
BL ST 137E,"Black Family, Community, and Society",Black Studies - BL ST,letters_and_science,Upper-division standing.,544,225,0.41360294117647056,137
BL ST 155,Dreams and Conflicts:Black Visual Culture,Black Studies - BL ST,letters_and_science,Upper-division standing.,144,102,0.7083333333333334,155
BL ST 194B,Ethnic Studies Teacher Education Seminar,Black Studies - BL ST,letters_and_science,"At least one course in one of these departments: Asian American Studies, Black Studies, Chicana/o Studies, Feminist Studies.",9,9,1,194
CH E 141,The Science and Engineering of Energy Conversion,Chemical Engineering - CH E,engineering,Chemical Engineering 110A and 140A or consent of instructor.,247,128,0.5182186234817814,141
CH E 146,Heterogeneous Catalysis,Chemical Engineering - CH E,engineering,Chemical Engineering 140A and B or consent of instructor.,62,39,0.6290322580645161,146
CH E 154,Engineering Approaches to Systems Biology,Chemical Engineering - CH E,engineering,Chemical Engineering 170 or Chemical Engineering 107; Mathematics 4B or 4BI; Mathematics 6A or 6AI and Mathematics 6B.,47,30,0.6382978723404256,154
CHEM 113AL,Physical Chemistry Laboratory,Chemistry and Biochemistry - CHEM,letters_and_science,Chemistry 113A (may be taken concurrently).,178,103,0.5786516853932584,113
CHEM 143,The RNA World,Chemistry and Biochemistry - CHEM,letters_and_science,"Chemistry W142A or 142A, 142B-C; or, MCDB 108A-B-C.",134,46,0.34328358208955223,143
CHEM 163,Arrow Pushing in Organic Chemistry,Chemistry and Biochemistry - CHEM,letters_and_science,Chemistry 109A-B-C; upper-division standing; open to chemistry and biochemistry majors only.,73,30,0.410958904109589,163
CHEM 186,"Organometallic Chemistry:Structure, Bonding, and Applications",Chemistry and Biochemistry - CHEM,letters_and_science,Chem 173A.,26,13,0.5,186
CHEM 196,Special Topics,Chemistry and Biochemistry - CHEM,letters_and_science,Consent of instructor.,187,172,0.9197860962566845,196
CH ST 109,Indigenous People and the Nation State in the Americas,Chicano Studies - CH ST,letters_and_science,"CHST 1A, OR CHST 1B, OR CHST 1C, OR ANTH 2",157,112,0.7133757961783439,109
CH ST 125B,Contemporary Chicano and Chicana Art,Chicano Studies - CH ST,letters_and_science,Upper-division standing.,401,244,0.6084788029925187,125
CH ST 141,Central Americans in the United States,Chicano Studies - CH ST,letters_and_science,Upper-division standing.,333,202,0.6066066066066066,141
CH ST 190,"El Plan de Santa Barbara, El Centro Arnulfo Casillas, and UCSB Chicanx/Latinx Student Activism, 1960s-Present",Chicano Studies - CH ST,letters_and_science,Chicana/o Studies 1A.,33,33,1,190
CH ST 191SV,Special Topics in Chicano Studies,Chicano Studies - CH ST,letters_and_science,"",15,13,0.8666666666666667,191
CHIN 140,Tang Literary History,Chinese - CHIN,letters_and_science,Upper division standing.,40,25,0.625,140
CLASS 171,Artifact and Text: The Archaeology and Literature of Early Greece,Classics - CLASS,letters_and_science,"",885,447,0.5050847457627119,171
CLASS 180A,Advanced Study in Classical Civilization,Classics - CLASS,letters_and_science,"",107,59,0.5514018691588785,180
COMM 106,Small Group Communication,Communication - COMM,letters_and_science,Not open to Freshmen.,918,539,0.5871459694989106,106
COMM 114,Media Effects on Society and Institutions,Communication - COMM,letters_and_science,Not open to Freshmen.,1009,357,0.3538156590683845,114
COMM 137,"Global Communication, International Relations and the Media",Communication - COMM,letters_and_science,Not open to freshmen.,633,273,0.4312796208530806,137
COMM 160HC,Special Topics: Communication and the Art of Happiness,Communication - COMM,letters_and_science,Not open to freshmen.,353,191,0.5410764872521246,160
COMM 175GW,"Communication, Technology, and Gig Work",Communication - COMM,letters_and_science,Senior-standing; Communication and interdisciplinary studies majors only.,25,22,0.88,175
C LIT 34,Literature of the Americas,Comparative Literature - C LIT,letters_and_science,Same course as French 34.,879,507,0.5767918088737202,34
ENV S 194SF,Sustainable Food Studies Lab,Environmental Studies - ENV S,letters_and_science,Upper-division status and consent of instructor.,,,,194
FAMST 166AR,Special Topics in Cultural Studies: Alchemy and Reverie,Film and Media Studies - FAMST,letters_and_science,Film Studies 46.,,,,166
GREEK 173,Hellenistic Poets,Greek - GREEK,letters_and_science,Greek 102.,,,,173
HIST 4AH,Ancient Mediterranean-Honors,History - HIST,letters_and_science,Honors standing; consent of instructor.,,,,4
C LIT 36,Global Humanities,Comparative Literature - C LIT,letters_and_science,"",865,502,0.5803468208092486,36
C LIT 107,Voyages to the Unknown,Comparative Literature - C LIT,letters_and_science,Writing 2 or equivalent.,119,60,0.5042016806722689,107
C LIT 122C,Holocaust in Italy,Comparative Literature - C LIT,letters_and_science,Upper Division Standing,24,12,0.5,122
C LIT 154I,"Economic Fictions: Literature, Film, and Theory",Comparative Literature - C LIT,letters_and_science,Upper Division Standing.,35,19,0.5428571428571428,154
C LIT 155,Critical Artificial Intelligence,Comparative Literature - C LIT,letters_and_science,Upper division standing.,28,23,0.8214285714285714,155
C LIT 161,Literature of Central Europe,Comparative Literature - C LIT,letters_and_science,Upper-division standing.,49,29,0.5918367346938775,161
C LIT 186BU,Bulgakov,Comparative Literature - C LIT,letters_and_science,Upper-division standing.,16,11,0.6875,186
C LIT 186LS,Literatures of the Sea,Comparative Literature - C LIT,letters_and_science,Upper-division standing.,19,6,0.3157894736842105,186
CMPSC 148,Computer Science Project,Computer Science - CMPSC,engineering,Computer Science 32 with a grade of C or better; open to Computer Science majors only.,186,178,0.956989247311828,148
CMPSC 190B,Special Topics in Computer Science: Software Systems,Computer Science - CMPSC,engineering,Consent of instructor.,88,72,0.8181818181818182,190
CMPTGCS 2,Foundations of Computer Science,Computing (Creative Studies) - CMPTGCS,creative_studies,Consent of instructor.,70,70,1,2
DANCE 42E,Continuing Ballet,Dance - DANCE,letters_and_science,"",56,40,0.7142857142857143,42
DANCE 44E,Continuing Modern Dance,Dance - DANCE,letters_and_science,"",165,139,0.8424242424242424,44
DANCE 145W,"Dance as Social Protest:Art, Dance & Film, 1955 ? 1975",Dance - DANCE,letters_and_science,Upper-division standing.,75,58,0.7733333333333333,145
EARTH 30,The History of Life,Earth Science - EARTH,letters_and_science,"",870,110,0.12643678160919541,30
EARTH 141,Plant Paleobiology,Earth Science - EARTH,letters_and_science,Upper-division standing.,80,27,0.3375,141
EARTH 141L,Plant Paleobiology Laboratory,Earth Science - EARTH,letters_and_science,Geology 141 or EEMB 137 (may be taken concurrently).,26,14,0.5384615384615384,141
EARTH 194BG,Seminar in Biogeochemistry,Earth Science - EARTH,letters_and_science,Upper-division standing; consent of instructor.,7,7,1,194
EACS 103C,Anthropology of Contemporary Korea,East Asian Cultural Studies - EACS,letters_and_science,Upper-division standing or instructor approval,157,66,0.42038216560509556,103
EACS 128,Religious Environmentalism in the Anthropocene: Asia & U.S.,East Asian Cultural Studies - EACS,letters_and_science,Upper division standing.,27,15,0.5555555555555556,128
EEMB 140,General Plant Ecology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"MCDB 1A, EEMB 2 and MCDB 1B, and EEMB 3; completion of all listed prerequisites with a grade of C- or better.",338,96,0.28402366863905326,140
EEMB 140L,General Plant Ecology Lab,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"MCDB 1A, EEMB 2 and MCDB 1B, and EEMB 3; and, EEMB 140 (may be taken concurrently); Completion of all listed prerequisites with a grade of C- or better.",13,12,0.9230769230769231,140
EEMB 147,Coral Reef Biology and Ecology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"MCDB 1A, MCDB 1B, EEMB 2 and EEMB 3. Completion of all listed prerequisites with a grade of C- or better.",1108,571,0.5153429602888087,147
EEMB 150A,Microbial Diversity I,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"MCDB 1A, EEMB 2, MCDB 1B, and EEMB 3; Completion of all listed prerequisites with a grade of C- or better.",120,67,0.5583333333333333,150
EEMB 165,Fields Studies in Marine Ecological Physiology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"MCDB 1A-1B, EEMB 2 and 3; Completion of all listed prerequisites with a grade of C- or better.",50,39,0.78,165
ECON 191D,Special Topics in Economics,Economics - ECON,letters_and_science,Econ 10A or 100A or 104A.,77,71,0.922077922077922,191
ECE 136B,Optics and Imaging,Electrical Computer Engineering - ECE,engineering,"PHYS 5 and PHYS 5L, or equivalent.",13,7,0.5384615384615384,136
ECE 178,Introduction to Digital Image and Video Processing,Electrical Computer Engineering - ECE,engineering,"Open to electrical engineering, computer engineering, and computer science majors with upper-division standing.",605,276,0.456198347107438,178
ENGL 37,Introduction to Legal Humanities,English - ENGL,letters_and_science,"",170,82,0.4823529411764706,37
ENGL 110B,Introduction to Old English Language and Literature: Beowulf,English - ENGL,letters_and_science,English 110A.,17,17,1,110
ENGL 132PR,Studies in American Writers Philip Roth,English - ENGL,letters_and_science,Writing 2 or upper-division standing.,165,100,0.6060606060606061,132
ENGL 132WE,Walt Whitman and Emily Dickinson,English - ENGL,letters_and_science,Writing 2 or upper-division standing.,26,11,0.4230769230769231,132
ENGL 134NA,"The Body As Archive:Indigeneity, Felt Theory, and Decolonial Ways of Knowing",English - ENGL,letters_and_science,Writing 2 or upper-division standing.,894,574,0.6420581655480985,134
MARINCS 102,Biological Oceanography,Marine Science (Creative Studies) - MARIN,creative_studies,Marine CS 100A,,,,102
ENGL 141MC,Migrant Ecologies,English - ENGL,letters_and_science,Writing 2 or upper-division standing.,26,21,0.8076923076923077,141
ENGL 149,Decoding Digital Literature (Critical Code Studies),English - ENGL,letters_and_science,Writing 2 or 50 or 109 or English 10.,195,109,0.558974358974359,149
ENGL 171NH,Neurohumanism,English - ENGL,letters_and_science,"Writing 2, or 50, or 109, or English 10 or upper-division standing",140,117,0.8357142857142857,171
ENGL 175CR,Culture and Revolution,English - ENGL,letters_and_science,Upper-division standing.,13,11,0.8461538461538461,175
ENGL 187ML,Studies in Modern Literature - Contemporary Literature,English - ENGL,letters_and_science,Writing 2 or 50 or 109 or English 10 or upper-division standing.,49,46,0.9387755102040817,187
ENV S 70,Introduction to Environmental Ethics,Environmental Studies - ENV S,letters_and_science,"",129,109,0.8449612403100775,70
ENV S 130SD,The World in 2050: Systemic Alternatives,Environmental Studies - ENV S,letters_and_science,Upper-division standing.,644,596,0.9254658385093167,130
ENV S 145,Climate Change Mitigation Strategies,Environmental Studies - ENV S,letters_and_science,"Upper-division Standing, Environmental Studies 2, and either Math 2B, 3B, 34B or Math 34A and Environmental Studies 25.",41,31,0.7560975609756098,145
ENV S 147,Air Quality and the Environment,Environmental Studies - ENV S,letters_and_science,"Mathematics 3A or 34A or Environmental Studies 25; and, Chemistry 1A and 1B, or Environmental Studies 15A and 15B.",601,258,0.4292845257903494,147
ENV S 193AF,Ancestral Foods,Environmental Studies - ENV S,letters_and_science,Upper-division standing.,59,56,0.9491525423728814,193
PHYS 138,Soft Matter Physics,Physics - PHYS,letters_and_science,Co-requisite: Physics 119B,19,11,0.5789473684210527,138
FEMST 131,The Politics of Reproduction and Reproductive Technologies,Feminist Studies - FEMST,letters_and_science,Upper-division standing.,99,69,0.696969696969697,131
FEMST 151AB,Sexual Cultures,Feminist Studies - FEMST,letters_and_science,Upper-division standing.,79,71,0.8987341772151899,151
PHYS CS 199,Independent Studies,Physics (Creative Studies) - PHYS CS,creative_studies,Consent of instructor.,6,6,1,199
PHYS 210A,Electromagnetic Theory,Feminist Studies - FEMST,letters_and_science,"",365,288,0.7890410958904109,210
FAMST 101A,History of Cinema: The Silent Film,Film and Media Studies - FAMST,letters_and_science,Film and Media Studies 46 and 70 with a minimum grade of C; open to Film and Media Studies majors only.,739,104,0.14073071718538566,101
FAMST 122NI,Topics in National Cinema,Film and Media Studies - FAMST,letters_and_science,Film and Media Studies 46 or upper-division standing.,136,81,0.5955882352941176,122
FAMST 155NH,Directors: New Hollywood Cinema,Film and Media Studies - FAMST,letters_and_science,Film Studies 46.,332,59,0.17771084337349397,155
FAMST 187CO,Topics in Film and Television Analysis: Theories of Comedy,Film and Media Studies - FAMST,letters_and_science,"Film studies 46 or upper-division standing, and consent of instructor.",19,10,0.5263157894736842,187
FAMST 187FC,Topics in Film and Television Analysis: Fan Culture,Film and Media Studies - FAMST,letters_and_science,"Film studies 46 or upper-division standing, and consent of instructor.",44,38,0.8636363636363636,187
FAMST 187FM,The Future of Media,Film and Media Studies - FAMST,letters_and_science,"Film studies 46 or upper-division standing, and consent of instructor.",32,27,0.84375,187
FAMST 187GC,Topics in Film and Television Analysis Global Cinema Going,Film and Media Studies - FAMST,letters_and_science,"Film studies 46 or upper-division standing, and consent of instructor.",13,5,0.38461538461538464,187
FAMST 187RW,"Russian War Films, 1911-Present",Film and Media Studies - FAMST,letters_and_science,"Film studies 46 or upper-division standing, and consent of instructor.",22,17,0.7727272727272727,187
FAMST 189JA,Topics in Contemporary Media Theory: Japanese American Internment Media,Film and Media Studies - FAMST,letters_and_science,Film and Media Studies 46 or 70,17,7,0.4117647058823529,189
FR 34,Literatures of the Americas,French - FR,letters_and_science,"",122,88,0.7213114754098361,34
FR 151F,Sociology of French Popular Culture,French - FR,letters_and_science,French 100.,43,32,0.7441860465116279,151
FR 151G,Globalization and Development in the Francosphere,French - FR,letters_and_science,One course from French 101A-B-C; and one course from French 104A-B-C-D-E-F.,50,39,0.78,151
FR 154A,Voyages to the Unknown,French - FR,letters_and_science,Writing 2 or equivalent,108,56,0.5185185185185185,154
FR 154I,"Economic Fictions: Literature, Film, and Theory",French - FR,letters_and_science,Upper division standing.,109,61,0.5596330275229358,154
GEOG 102,Introduction to Environmental Optics in Physical Geography,Geography - GEOG,letters_and_science,"Geography 3A or 3 and 3B or 4, and 115A.",33,12,0.36363636363636365,102
GEOG 104,Physical Geography of the World's Oceans,Geography - GEOG,letters_and_science,Upper-division standing or consent of instructor.,824,218,0.2645631067961165,104
GEOG 142,Global Biogeochemical Cycles,Geography - GEOG,letters_and_science,"Geography 3 or 3A or 3B or 4; or, Environmental Studies 2; or, Earth Science 1; or, Chemistry 1A.",138,57,0.41304347826086957,142
GEOG 161,"Food, Agriculture, and the Environment",Geography - GEOG,letters_and_science,Upper-division standing.,121,58,0.4793388429752066,161
GER 151C,Literature of Central Europe,German - GER,letters_and_science,Upper-division standing.,17,11,0.6470588235294118,151
GER 155,Critical Artificial Intelligence,German - GER,letters_and_science,Upper division standing.,28,18,0.6428571428571429,155
GER 164E,Major Works in German Literature: Kafka,German - GER,letters_and_science,Upper-division standing.,153,95,0.6209150326797386,164
GLOBL 146,Global Linkages of the African Diaspora,Global Studies - GLOBL,letters_and_science,"",44,17,0.38636363636363635,146
GLOBL 159,Globalization and Culture,Global Studies - GLOBL,letters_and_science,"",194,35,0.18041237113402062,159
GREEK 158,Homer,Greek - GREEK,letters_and_science,Greek 102 or equivalent.,1,1,1,158
HEB 2,Elementary Hebrew,Hebrew - HEB,letters_and_science,Hebrew 1 or equivalent.,235,190,0.8085106382978723,2
HIST 80,Chinese Civilization,History - HIST,letters_and_science,"",526,189,0.3593155893536122,80
HIST 105II,Infrastructure and Ideology in the Modern World,History - HIST,letters_and_science,Upper division standing.,41,34,0.8292682926829268,105
HIST 107S,History of Biology and Society,History - HIST,letters_and_science,History 9 OR Upper Division Standing,69,44,0.6376811594202898,107
HIST 115R,Undergraduate Research Seminar in Medieval European History,History - HIST,letters_and_science,"Any one of the following: History 115, 115X, 118A, 118B, 125 or 130 or upper division standing or consent of instructor.",55,42,0.7636363636363637,115
HIST 117C,"Women, The Family, and Sexuality in the Middle Ages",History - HIST,letters_and_science,History 4B or upper-division standing.,226,88,0.3893805309734513,117
HIST 124C,"Sex, Gender, and Settler Colonialism",History - HIST,letters_and_science,Upper Division Standing,35,14,0.4,124
HIST 149H,Hip Hop History in Africa & the Diaspora,History - HIST,letters_and_science,none.,36,27,0.75,149
HIST 151B,Latin American History,History - HIST,letters_and_science,History 8 or upper-division standing.,190,68,0.35789473684210527,151
HIST 151Q,Readings in Latin American History,History - HIST,letters_and_science,History 8,7,3,0.42857142857142855,151
HIST 153M,Tools for Healing from Global Race-Making,History - HIST,letters_and_science,"Upper Division Standing; HIST 8, 2B, 2C, 193F, OR 193MA.",23,15,0.6521739130434783,153
HIST 162R,Research in U.S. Antislavery,History - HIST,letters_and_science,Upper-Division Standing,30,18,0.6,162
HIST 166LB,American Legal History,History - HIST,letters_and_science,upper-division standing,573,302,0.5270506108202443,166
HIST 167CA,"History of the American Working Class, 1800-1900",History - HIST,letters_and_science,History 17A or 17B or sophomore or junior or senior standing.,117,112,0.9572649572649573,167
HIST 168N,Interracial Intimacy,History - HIST,letters_and_science,Not open to freshmen.,311,126,0.40514469453376206,168
HIST 171ME,The United States and the Middle East Since 1900,History - HIST,letters_and_science,A previous history course or upper division standing.,314,182,0.5796178343949044,171
HIST 175D,American Family History,History - HIST,letters_and_science,History 17A or 17B or 17C.,240,109,0.45416666666666666,175
HIST 178B,American Urban History,History - HIST,letters_and_science,Any two quarters of History 17A-B-C or upper-division standing.,157,51,0.3248407643312102,178
HIST 187A,Japan Under the Tokugawa Shoguns,History - HIST,letters_and_science,History 2A or 2B or 2C or 9 or 87 or upper-division standing.,348,149,0.4281609195402299,187
INT 84AC,Introductory Honors Seminar: Special Topics,Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program.,48,48,1,84
INT 84BI,Honors Seminar: What is Nature?,Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program.,36,35,0.9722222222222222,84
INT 84CW,Honors Seminar: Classical Music and Opera: An Introduction to live performances,Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program.,11,11,1,84
INT 84CX,"Honors Seminar: Plant, Drug, Weed: Cannabis and World History",Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program.,14,10,0.7142857142857143,84
INT 84CY,"Honors Seminar: Food, Science, and Cooking",Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program.,10,10,1,84
INT 84CZ,Honors Seminar: Introduction to Data Science and Machine Learning: Foundations and Applications,Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program.,16,16,1,84
INT 84DA,Honors Seminar: Freedom,Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program.,14,11,0.7857142857142857,84
INT 84ZD,"Honors Seminar: The Case for Reading and Writing Poetry: From Spanish, Latin American, and Chicanx poems to your own work in response to the artists' productions",Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program.,27,27,1,84
INT 88AI,Second Year Discovery Seminar: Social Innovation: Tools for Changemakers,Interdisciplinary - INT,letters_and_science,Sophomore standing.,13,13,1,88
INT 88AK,Second Year Discovery Seminar: Asian American Intergenerational Conflict,Interdisciplinary - INT,letters_and_science,Sophomore standing.,13,13,1,88
INT 89AF,"First Year Discovery Linked Seminar: Spaces, Places, and Bodies: An Introduction to Visual/Spatial Rhetorics",Interdisciplinary - INT,letters_and_science,"",112,104,0.9285714285714286,89
INT 94WN,First Year Discovery Seminar: The (Bio)Chemistry of Food,Interdisciplinary - INT,letters_and_science,Freshman standing.,17,15,0.8823529411764706,94
INT 94WO,First Year Discovery Seminar: Home in on the Humanities!,Interdisciplinary - INT,letters_and_science,Freshman standing.,18,18,1,94
INT CS 130DI,"CCS Crossroads - Deserts, Islands, and Other Energy Infrastructures",Interdisciplinary - INT,creative_studies,"",12,12,1,130
INT 176,Introduction to Clinical Medicine,Interdisciplinary - INT,letters_and_science,Upper-division standing.,147,144,0.9795918367346939,176
INT 184PD,Honors Seminar:Special Topics,Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program; upper-division standing.,262,254,0.9694656488549618,184
INT 186AG,Transfer Exploration Seminars,Interdisciplinary - INT,letters_and_science,Upper-division standing.,33,31,0.9393939393939394,186
INT 186BL,Transfer Discovery Seminar: Microbial Oceans,Interdisciplinary - INT,letters_and_science,Upper-division standing.,18,18,1,186
INT 187AO,Transfer Discovery Linked Seminar: The Art and Science of Autobiographical Storytelling,Interdisciplinary - INT,letters_and_science,Upper-division standing.,52,52,1,187
INT 188,Promoting Research Engagement-REU Application Development,Interdisciplinary - INT,letters_and_science,Upper-division standing; consent of instructor.,6,6,1,188
INT 197HC,Honors Contract,Interdisciplinary - INT,letters_and_science,"",1444,1419,0.9826869806094183,197
ITAL 139CX,Italian Colonialism,Italian - ITAL,letters_and_science,Upper division standing.,37,22,0.5945945945945946,139
ITAL 189X,"Italy in the Mediterranean: History, Arts, and Culture",Italian - ITAL,letters_and_science,Upper-division standing.,93,44,0.4731182795698925,189
JAPANW 5,Second-Year Japanese,Japanese - JAPAN,letters_and_science,"Japanese 4 with grade C or better, or equivalent",17,11,0.6470588235294118,5
JAPAN 115,Topics in Twentieth-Century Japanese,Japanese - JAPAN,letters_and_science,Upper Division Standing,233,95,0.40772532188841204,115
JAPANW 120B,Third-Year Japanese II,Japanese - JAPAN,letters_and_science,"Japanese 120A with grade C or better, or equivalent",18,16,0.8888888888888888,120
JAPAN 153,"Death, Love & Money in Modern Japan",Japanese - JAPAN,letters_and_science,Upper-division standing.,31,26,0.8387096774193549,153
LATIN 2,Elementary Latin,Latin - LATIN,letters_and_science,Latin 1 with a grade of C or better.,394,225,0.5710659898477157,2
LATIN 116,"Cicero: Essays, Letters, And Orations",Latin - LATIN,letters_and_science,Latin 102.,4,4,1,116
LING 116,The Structure of Language and Sports,Linguistics - LING,letters_and_science,Upper division or consent of instructor.,306,139,0.4542483660130719,116
LING 120,Corpus Linguistics,Linguistics - LING,letters_and_science,Linguistics 20.,82,45,0.5487804878048781,120
WRIT 199RA,Independendent Research Assistance in Writing,Writing - WRIT,letters_and_science,Upper-division standing; consent of instructor.,,,,199
FR 189,Narrative in the First Person,French - FR,letters_and_science,Upper-division standing.,,,,189
INT 94WH,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,94
LING 181,Languages of the World,Linguistics - LING,letters_and_science,"",222,121,0.545045045045045,181
MATH 119B,Chaotic Dynamics and Bifurcation Theory,Mathematics - MATH,letters_and_science,"Mathematics 6B and Math 119A, each with a minimum grade of C",287,178,0.6202090592334495,119
MATH CS 120C,Special Topics in Mathematics: Combinatorics,Mathematics - MATH,creative_studies,Consent of instructor.,18,18,1,120
MATH CS 120PA,P-adic analysis and p-adic zeta functions,Mathematics - MATH,creative_studies,Consent of instructor.,17,17,1,120
MATH CS 122A,Complex Variables I,Mathematics (Creative Studies) - MATH CS,creative_studies,None.,128,128,1,122
MCDB 172,Biological Dynamics,"Molecular, Cellular & Develop. Biology - MCDB",letters_and_science,"MCDB 1A, EEMB 2 and MCDB 1B; and MCDB 101A or EEMB 129; and either Math 4A OR MCCB 108C. Completion of all listed prerequisites with a grade of C or better.",108,85,0.7870370370370371,172
MCDB 194M,Immune Cell Biology and Immunotherapy,"Molecular, Cellular & Develop. Biology - MCDB",letters_and_science,Upper-division standing and consent of instructor.,5,5,1,194
MUS 101B,Contemporary Techniques,Music - MUS,letters_and_science,Music 5C or equivalent.,81,48,0.5925925925925926,101
MUS 160E,The Arabic System of Melodic Modes: The Maqamat,Music - MUS,letters_and_science,"",64,47,0.734375,160
MUS A 38,Opera Workshop,Music Performance Laboratories - MUS A,letters_and_science,By audition only.,44,44,1,38
MUS A 138,Opera Workshop,Music Performance Laboratories - MUS A,letters_and_science,By audition only.,49,47,0.9591836734693877,138
PHIL 100E,Metaphysics,Philosophy - PHIL,letters_and_science,One prior course in philosophy.,934,221,0.2366167023554604,100
PHIL 121,Political Philosophy,Philosophy - PHIL,letters_and_science,"Major in philosophy, law & society, political science, or global and international studies.",310,130,0.41935483870967744,121
PHIL 133,History of Political Thought,Philosophy - PHIL,letters_and_science,"Major in philosophy, law & society, political science, or global and international studies.",440,132,0.3,133
PHIL 150D,Advanced Topics in Philosophy of Mind,Philosophy - PHIL,letters_and_science,Two courses from Philosophy 100A or 100B or 100C or 100D or 100E or 100F.,105,30,0.2857142857142857,150
PHIL 175A,American Philosophy,Philosophy - PHIL,letters_and_science,Philosophy 100A or 100B or 100D or 100E.,31,17,0.5483870967741935,175
PHYS CS 5,Group Studies,Physics - PHYS,creative_studies,Consent of Instructor,9,9,1,5
